,district,home_size,home_price
644,طويق,390,1400000
645,طويق,820,1400000
646,الرمال,305,1300000
647,العارض,336,3000000
648,العارض,500,3800000
649,المونسية,350,1950000
650,الرمال,360,1600000
651,النرجس,300,3050000
652,طويق,266,1330000
653,عكاظ,400,1200000
654,لبن,200,1100000
655,طويق,375,1600000
656,المهدية,250,1250000
657,نمار,375,1700000
658,النرجس,312,3000000
659,حطين,5000,50000000
660,الرفيعة,1800,15000000
661,لبن,200,1300000
662,العارض,270,2300000
663,الرمال,300,1380000
664,البيان,858,3700000
665,بدر,343,900000
666,الرمال,340,1600000
667,بدر,420,1250000
668,الغربية,250,1100000
669,طويق,200,900000
670,طيبة,273,900000
671,شبرا,250,750000
672,العارض,337,2500000
673,القادسية,750,3500000
674,حطين,345,2900000
675,الخليج,1120,7000000
676,طويق,200,980000
677,القيروان,400,3100000
678,العليا,350,2000000
679,طويق,300,1300000
680,المهدية,375,2500000
681,بدر,227,950000
682,الملقا,405,4500000
683,الرفيعة,1800,15000000
684,النرجس,300,2650000
685,الرمال,300,1370000
686,المونسية,280,1900000
687,عكاظ,360,1020000
688,طويق,300,1100000
689,الخزامى,715,14000000
690,البيضاء,220,850000
691,العزيزية,288,1150000
692,الرمال,360,1550000
693,المهدية,375,2200000
694,الحزم,360,1500000
695,بدر,348,920000
696,الرمال,240,1150000
697,طويق,200,880000
698,طويق,200,1000000
699,بدر,360,1150000
700,المونسية,430,3000000
701,القادسية,275,1370000
702,قرطبة,780,4000000
703,الروضة,750,3500000
704,الرفيعة,1800,15000000
705,طويق,300,1220000
706,الوسطى,318,1200000
707,الحزم,300,1100000
708,الياسمين,375,4000000
709,ثليم,174,1200000
710,المهدية,375,2100000
711,الرمال,273,1150000
712,بدر,240,950000
713,الرمال,300,1400000
714,البديعة,750,1125000
715,العارض,351,2750000
716,طويق,312,1500000
717,المونسية,275,1750000
718,المهدية,200,1300000
719,طويق,300,1100000
720,العزيزية,220,850000
721,عكاظ,300,1100000
722,الرمال,375,1450000
723,طويق,390,1700000
724,طويق,200,980000
725,طويق,800,1400000
726,طويق,300,1220000
727,الرمال,300,1350000
728,النرجس,336,3000000
729,طويق,300,1200000
730,المهدية,250,1400000
731,الوسطى,200,1000000
732,الرمال,300,1600000
